Test Suite,Enabled,Description,firstName,lastName,phoneNumber,email,address,city,province,postalCode,country,userName,passWord,confirmPassword,navRegister
register,1,"enter the first name, last name , click submit button, click register button",Naflan,Niyas,,,,,,,,,,,
register,1,"enter user name only, click register button",,,,,,,,,,naflan,,,
register,1,"enter password only, click register button",,,,,,,,,,,abc123,,
register,1,"enter user name and password only , click register button",,,,,,,,,,naflan,abc123,,
register,1,"enter user name password and confirm password, click register button",,,,,,,,,,naflan,abc123,abc123,
register,1,"enter phone number only, click register button",,,111234567,,,,,,,,,,
register,1,"enter phone number with special correcters, click register button",,,011#$%23564,,,,,,,,,,
register,1,"enter wrong email , click register button",,,,acb123gmailcom,,,,,,,,,
register,1,"enter city name with numarical, click register button",,,,,,123456789,,,,,,,
register,1,"enter province name with numarical, click register button",,,,,,,123456789,,,,,,
